Mass/Charge	Area	Height	Width	Width at 50%	Resolution	Charge	Monoisotopic	Mass (charge)	Mass/charge (charge)
30.1434597489258	0.0030838363493686	2	0.0015419181746843	0.0015419181746843	19549.325148267	0	Yes	*29.1356	*30.1435
33.216680812257	0.00843027353947257	2.08333333333333	0.00404653129894683	0.00404653129894683	8208.68006653059	0	Yes	*32.2089	*33.2167
33.5615263458001	0.00427085609719846	1.75	0.00244048919839912	0.00244048919839912	13751.9667646205	0	Yes	*32.5537	*33.5615
35.2103205154572	0.0069436612644284	2.08333333333333	0.00333295740692563	0.00333295740692563	10564.2875730403	1	Yes	*34.2025 (1)	*35.2103 (1)
35.7729034123276	0.00524918519736832	2.08333333333333	0.00251960889473679	0.00251960889473679	14197.8000978857	0	Yes	*34.7651	*35.7729
36.2160387339338	0.00147884720481883	1.75	0.000845055545610762	0.000845055545610762	42856.4002946798	1	No	35.2082 (1)	36.2160 (1)
36.4483779280548	0.00296716659019403	1.75	0.00169552376582516	0.00169552376582516	21496.8251479014	0	Yes	*35.4405	*36.4484
36.9293637011569	0.00149334015857683	1.75	0.000853337233472473	0.000853337233472473	43276.4002935636	0	Yes	*35.9215	*36.9294
37.0079124505683	0.0044847824462213	1.75	0.00256273282641217	0.00256273282641217	14440.8000979093	0	Yes	*36.0001	*37.0079
37.4182265053886	0.00536854255854813	2.08333333333333	0.0025769004281031	0.0025769004281031	14520.633431278	0	Yes	*36.4104	*37.4182
37.5286851408398	0.00358430712674718	2.08333333333333	0.00172046742083865	0.00172046742083865	21813.0751482329	0	Yes	*36.5209	*37.5287
38.0703834670088	0.00454868084396143	3.5	0.00173283079769959	0.00173283079769959	21970.0524237847	0	Yes	*37.0626	*38.0704
38.8284801698519	0.0135622389974313	2.08333333333333	0.00699986401684782	0.00699986401684782	5547.03349613599	0	Yes	*37.8207	*38.8285
39.0218489508157	0.029056762892886	7.66666666666667	0.00614030565834867	0.00354454841478713	11008.9761471517	0	Yes	*38.0140	*39.0218
39.2877921110384	0.00183367497205526	2.08333333333333	0.000880163986586524	0.000880163986586524	44636.9002933254	0	Yes	*38.2800	*39.2878
39.6631943903673	0.00368482939934189	2.08333333333333	0.00176871811168411	0.00176871811168411	22424.8251478589	0	Yes	*38.6554	*39.6632
39.9373757214219	0.00554631539649482	2.08333333333333	0.00266223139031752	0.00266223139031752	15001.466764562	0	Yes	*38.9295	*39.9374
40.0794875927205	0.00555617454867097	2.08333333333333	0.00266696378336206	0.00266696378336206	15028.1334312665	0	Yes	*39.0717	*40.0795
40.4581978667143	0.00468918485423764	1.75	0.00267953420242151	0.00267953420242151	15098.9667645041	1	Yes	*39.4504 (1)	*40.4582 (1)
41.0384548992899	0.115367350893831	26.5	0.00989501787767466	0.00409395779021082	10024.1519337151	0	Yes	*40.0306	*41.0385
